Gene,ST,Present_ST,Total_ST,Present_others,Total_others,OddsRatio,p_fisher,p_fisher_adj
blaNDM-5,ST167,158,189,0,255,inf,2.4993432894293417e-89,3.6740346354611325e-87
dfrA17,ST131,121,151,30,293,35.35888888888889,2.0389466721099356e-50,1.4986258040008028e-48
aadA5,ST131,120,151,30,293,33.935483870967744,1.5513899699504635e-49,7.601810852757272e-48
blaNDM-5,ST131,0,151,158,293,0.0,2.506392340627661e-38,9.210991851806655e-37
mph(A),ST10,21,104,281,340,0.05312352613300176,1.4613039208144715e-31,4.2962335271945456e-30
rmtB,ST167,70,189,0,255,inf,1.381139128823046e-30,3.3837908656164633e-29
tet(B),ST167,117,189,33,255,10.931818181818182,1.6619844425842556e-27,3.146944158213089e-26
aadA2,ST167,79,189,6,255,29.804545454545455,1.9267005050284218e-27,3.146944158213089e-26
dfrA12,ST167,77,189,5,255,34.375,1.8112978289903542e-27,3.146944158213089e-26
tet(B),ST131,5,151,145,293,0.03495512517713746,6.0194397283936564e-27,8.848576400738674e-26
dfrA1,ST167,87,189,12,255,17.272058823529413,3.99059991145494e-26,5.332892608944329e-25
blaCTX-M-15,ST10,13,104,237,340,0.062085593731163354,7.168680357212483e-26,8.781633437585292e-25
blaCTX-M-15,ST167,158,189,92,255,9.03015427769986,1.88439207718886e-24,2.13081257959048e-23
aadA1,ST167,87,189,15,255,13.647058823529411,5.966302781959501e-24,5.846976726320311e-23
blaNDM-5,ST10,0,104,158,340,0.0,5.961264333878363e-24,5.846976726320311e-23
tet(D),ST167,93,189,20,255,11.3828125,1.845154898774603e-23,1.6952360632491664e-22
tet(D),ST131,1,151,112,293,0.010773809523809524,3.8546412473208653e-23,3.3331309609186304e-22
dfrA1,ST131,0,151,99,293,0.0,1.4752234445438322e-21,1.2047658130441296e-20
aadA1,ST131,1,151,101,293,0.012673267326732674,2.4023688008844266e-20,1.8586748091053196e-19
sul1,ST131,124,151,111,293,7.530196863530197,1.551734751431091e-19,1.1405250423018517e-18
dfrA17,ST167,22,189,129,255,0.1286728867845704,1.1358115573793009e-18,7.950680901655107e-18
aadA5,ST167,22,189,128,255,0.1307073353293413,1.3792788006542764e-18,9.21609016800812e-18
sul1,ST10,17,104,218,340,0.1093535800906886,2.3727890159558802e-18,1.51652167541528e-17
