Gene,AMRfinder,ARGANNOT,CARD,MEGARES,NCBI,RESFINDER,TotalGenomes
(AGly)aac3-IIa,0.0,40.0,0.0,0.0,0.0,0.0,40
(AGly)aac3-IId,0.0,178.0,0.0,0.0,0.0,0.0,178
(AGly)aac3-VIa,0.0,3.0,0.0,0.0,0.0,0.0,3
(AGly)aac6-Ib,0.0,1.0,0.0,0.0,0.0,0.0,1
(AGly)aadA1-pm,0.0,100.0,0.0,0.0,0.0,0.0,100
(AGly)aadA2,0.0,80.0,0.0,0.0,0.0,0.0,80
(AGly)aadA22,0.0,1.0,0.0,0.0,0.0,0.0,1
(AGly)aadA3,0.0,1.0,0.0,0.0,0.0,0.0,1
(AGly)aadA5,0.0,147.0,0.0,0.0,0.0,0.0,147
(AGly)aph(3'')-Ia,0.0,1.0,0.0,0.0,0.0,0.0,1
(AGly)aph3-Ia,0.0,23.0,0.0,0.0,0.0,0.0,23
(AGly)rmtB,0.0,58.0,0.0,0.0,0.0,0.0,58
(AGly)sat-2A,0.0,90.0,0.0,0.0,0.0,0.0,90
(AGly)str,0.0,1.0,0.0,0.0,0.0,0.0,1
(AGly)strA,0.0,254.0,0.0,0.0,0.0,0.0,254
(AGly)strB,0.0,260.0,0.0,0.0,0.0,0.0,260
(Bla)AmpC1_Ecoli,0.0,292.0,0.0,0.0,0.0,0.0,292
(Bla)AmpC2_Ecoli,0.0,444.0,0.0,0.0,0.0,0.0,444
(Bla)Penicillin_Binding_Protein_Ecoli,0.0,444.0,0.0,0.0,0.0,0.0,444
(Bla)ampH,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)ampH_Ecoli,0.0,444.0,0.0,0.0,0.0,0.0,444
(Bla)blaACT-38,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaCMY-111,0.0,4.0,0.0,0.0,0.0,0.0,4
(Bla)blaCMY-42,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaCMY-83,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaCTX-M-14,0.0,2.0,0.0,0.0,0.0,0.0,2
(Bla)blaCTX-M-15,0.0,250.0,0.0,0.0,0.0,0.0,250
(Bla)blaCTX-M-27,0.0,30.0,0.0,0.0,0.0,0.0,30
(Bla)blaCTX-M-55,0.0,15.0,0.0,0.0,0.0,0.0,15
(Bla)blaDHA-1,0.0,2.0,0.0,0.0,0.0,0.0,2
(Bla)blaNDM-1,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaNDM-19,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaNDM-20,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaNDM-5,0.0,158.0,0.0,0.0,0.0,0.0,158
(Bla)blaOXA-1,0.0,111.0,0.0,0.0,0.0,0.0,111
(Bla)blaOXA-48,0.0,2.0,0.0,0.0,0.0,0.0,2
(Bla)blaOXA-9,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaTEM-105,0.0,244.0,0.0,0.0,0.0,0.0,244
(Bla)blaTEM-135,0.0,2.0,0.0,0.0,0.0,0.0,2
(Bla)blaTEM-150,0.0,2.0,0.0,0.0,0.0,0.0,2
(Bla)blaTEM-158,0.0,32.0,0.0,0.0,0.0,0.0,32
(Bla)blaTEM-1D,0.0,1.0,0.0,0.0,0.0,0.0,1
(Bla)blaTEM-206,0.0,3.0,0.0,0.0,0.0,0.0,3
(Bla)blaTEM-33,0.0,10.0,0.0,0.0,0.0,0.0,10
(Bla)blaTEM-57,0.0,1.0,0.0,0.0,0.0,0.0,1
(Flq)qepA,0.0,19.0,0.0,0.0,0.0,0.0,19
(Flq)qnr-S1,0.0,15.0,0.0,0.0,0.0,0.0,15
(Flq)qnrB1,0.0,1.0,0.0,0.0,0.0,0.0,1
(Flq)qnrB4,0.0,2.0,0.0,0.0,0.0,0.0,2
(MLS)erm(B),0.0,56.0,0.0,0.0,0.0,0.0,56
(MLS)mph(A),0.0,298.0,0.0,0.0,0.0,0.0,298
(MLS)mph(B),0.0,1.0,0.0,0.0,0.0,0.0,1
(Phe)catA1,0.0,18.0,0.0,0.0,0.0,0.0,18
(Phe)catA2,0.0,5.0,0.0,0.0,0.0,0.0,5
(Phe)catA8,0.0,1.0,0.0,0.0,0.0,0.0,1
(Phe)catB3,0.0,2.0,0.0,0.0,0.0,0.0,2
(Phe)catB4,0.0,66.0,0.0,0.0,0.0,0.0,66
(Phe)cmlA1,0.0,1.0,0.0,0.0,0.0,0.0,1
(Phe)floR,0.0,2.0,0.0,0.0,0.0,0.0,2
(Sul)sul1,0.0,229.0,0.0,0.0,0.0,0.0,229
(Sul)sul2,0.0,256.0,0.0,0.0,0.0,0.0,256
(Sul)sul3,0.0,4.0,0.0,0.0,0.0,0.0,4
(Tet)tetA,0.0,236.0,0.0,0.0,0.0,0.0,236
(Tet)tetB,0.0,150.0,0.0,0.0,0.0,0.0,150
(Tet)tetC,0.0,1.0,0.0,0.0,0.0,0.0,1
(Tet)tetD,0.0,1.0,0.0,0.0,0.0,0.0,1
(Tet)tetL,0.0,1.0,0.0,0.0,0.0,0.0,1
(Tet)tetM,0.0,1.0,0.0,0.0,0.0,0.0,1
(Tet)tetR,0.0,236.0,0.0,0.0,0.0,0.0,236
(Tet)tetU,0.0,1.0,0.0,0.0,0.0,0.0,1
(Tmt)dfrA1,0.0,99.0,0.0,0.0,0.0,0.0,99
(Tmt)dfrA12,0.0,82.0,0.0,0.0,0.0,0.0,82
(Tmt)dfrA14,0.0,23.0,0.0,0.0,0.0,0.0,23
(Tmt)dfrA17,0.0,150.0,0.0,0.0,0.0,0.0,150
(Tmt)dfrA5,0.0,1.0,0.0,0.0,0.0,0.0,1
