RawName,MaxCount,Databases,GroupKey
blaEC,444,AMRfinder,BLAEC
MDTG,444,MEGARES,MDTG
MARA,444,MEGARES,MARA
ACRA,444,MEGARES,ACRA
EMRK,444,MEGARES,EMRK
EMRY,444,MEGARES,EMRY
EMRD,444,MEGARES,EMRD
YOGI,444,MEGARES,YOGI
AMPH,444,MEGARES,AMPH
CPXAR,444,MEGARES,CPXAR
ACRD,444,MEGARES,ACRD
BCR,444,MEGARES,BCR
EMRA,444,MEGARES,EMRA
EMRR,444,MEGARES,EMRR
HNS,444,MEGARES,HNS
MDTJ,444,MEGARES,MDTJ
mdtG,444,CARD,MDTG
marA,444,CARD,MARA
Escherichia_coli_acrA,444,CARD,ESCHERICHIA_COLI_ACRA
emrK,444,CARD,EMRK
emrY,444,CARD,EMRY
YojI,444,CARD,YOJI
CRP,444,CARD;MEGARES,CRP
acrD,444,CARD,ACRD
emrA,444,CARD,EMRA
H-NS,444,CARD,H-NS
PBP2,444,MEGARES,PBP
(Bla)Penicillin_Binding_Protein_Ecoli,444,ARGANNOT,(BLA)PENICILLIN_BINDING_PROTEIN_ECOLI
(Bla)AmpC2_Ecoli,444,ARGANNOT,(BLA)AMPC2_ECOLI
(Bla)ampH_Ecoli,444,ARGANNOT,(BLA)AMPH_ECOLI
emrR,444,CARD,EMRR
BACA,443,MEGARES,BACA
SOXS,443,MEGARES,SOXS
PmrF,443,CARD,PMRF
acrB,443,CARD,ACRB
evgA,443,CARD,EVGA
OmpA,443,CARD,OMPA
cpxA,443,CARD,CPXA
eptA,443,CARD,EPTA
bacA,443,CARD,BACA
leuO,443,CARD,LEUO
MDTK,443,MEGARES,MDTK
MDTI,443,MEGARES,MDTI
EPTA,443,MEGARES,EPTA
ROBA,443,MEGARES,ROBA
KPNO,443,MEGARES,KPNO
ACRB,443,MEGARES,ACRB
PMRF,443,MEGARES,PMRF
MDTC,442,MEGARES,MDTC
mdtB,442,CARD,MDTB
mdtA,442,CARD,MDTA
msbA,442,CARD,MSBA
mdtN,442,CARD,MDTN
GADW,442,MEGARES,GADW
MARR,442,MEGARES,MARR
MDTB,442,MEGARES,MDTB
MDTA,442,MEGARES,MDTA
MSBA,442,MEGARES,MSBA
MDTN,442,MEGARES,MDTN
