Gene,ST,Present_ST,Total_ST,Present_others,Total_others,OddsRatio,p_fisher,p_fisher_adj
mph(B),ST131,0,151,293,293,0.0,6.0019930929861534e-123,3.691225752186485e-120
blaEC-15,ST167,189,189,13,255,inf,7.982871337699565e-111,1.6364886242284107e-108
blaEC-19,ST167,0,189,242,255,0.0,7.982871337699565e-111,1.6364886242284107e-108
blaNDM-51,ST167,158,189,0,255,inf,2.4993432894293417e-89,3.842740307497613e-87
blaNDM-5,ST167,156,189,0,255,inf,1.95630415654424e-87,2.4062541125494148e-85
BLAEC,ST10,13,104,340,340,0.0,4.1301179310442447e-81,4.233370879320351e-79
blaEC-15,ST131,0,151,202,293,0.0,1.8085574712950574e-54,1.3903285560580754e-52
blaEC-19,ST131,151,151,91,293,inf,1.8085574712950574e-54,1.3903285560580754e-52
dfrA171,ST131,121,151,29,293,36.717241379310344,4.50644224013984e-51,3.0794021974288905e-49
dfrA17,ST131,121,151,30,293,35.35888888888889,2.0389466721099356e-50,1.2539522033476103e-48
aadA5,ST131,120,151,30,293,33.935483870967744,1.5513899699504635e-49,8.673680286541227e-48
mph(B),ST167,189,189,104,255,inf,2.7413635539749845e-49,1.4049488214121796e-47
aadA51,ST131,118,151,29,293,32.55172413793103,1.8714724269374605e-48,8.853504173588755e-47
blaNDM-51,ST131,0,151,158,293,0.0,2.506392340627661e-38,1.1010223496328654e-36
blaNDM-5,ST131,0,151,156,293,0.0,1.8529690311389546e-37,7.597173027669713e-36
mph(A),ST10,21,104,281,340,0.05312352613300176,1.4613039208144715e-31,5.616886945630625e-30
dfrA18,ST167,87,189,7,255,30.218487394957982,2.0709686718400734e-30,7.492033724597913e-29
mph(A)2,ST10,21,104,275,340,0.059802847754654984,1.5170207436204828e-29,5.183154207369983e-28
dfrA12,ST167,77,189,5,255,34.375,1.8112978289903542e-27,4.843252890561165e-26
tet(B)2,ST167,117,189,33,255,10.931818181818182,1.6619844425842556e-27,4.843252890561165e-26
TETB,ST167,117,189,33,255,10.931818181818182,1.6619844425842556e-27,4.843252890561165e-26
tet(B),ST167,117,189,33,255,10.931818181818182,1.6619844425842556e-27,4.843252890561165e-26
dfrA128,ST167,77,189,5,255,34.375,1.8112978289903542e-27,4.843252890561165e-26
aadA2,ST167,79,189,6,255,29.804545454545455,1.9267005050284218e-27,4.937170044135331e-26
