Replicon,ST,Present_ST,Total_ST,Present_others,Total_others,OddsRatio,p_fisher,p_fisher_adj
ColBS512,ST167,151,189,13,255,73.97165991902834,6.630203165467756e-65,1.2133271792805993e-62
ColpHAD28,ST167,173,189,60,255,35.140625,1.2457809612745704e-50,1.1398895795662318e-48
IncX3,ST167,92,189,1,255,240.90721649484536,2.5346579406396754e-40,1.5461413437902019e-38
ColpHAD28,ST131,17,151,216,293,0.04522526257600885,1.4164307207681573e-38,6.480170547514319e-37
IncF,ST10,43,104,332,340,0.016985976693659886,1.3500599374133687e-37,4.9412193709329294e-36
ColpVC,ST167,79,189,4,255,45.06590909090909,1.6575990709234074e-29,5.055677166316393e-28
ColBS512,ST131,8,151,156,293,0.04913035682266451,8.123276924657616e-27,2.1236566817319193e-25
IncI1,ST167,95,189,26,255,8.90139116202946,4.55334480483801e-21,1.0415776241066949e-19
IncX3,ST131,0,151,93,293,0.0,6.612618688809086e-20,1.3445658000578474e-18
Col156,ST131,134,151,136,293,9.099480968858131,1.3203004402872044e-19,2.416149805725584e-18
ColBS512,ST10,5,104,159,340,0.05749317070071787,1.888031985055951e-17,3.1409986660476277e-16
Col156,ST10,26,104,244,340,0.13114754098360656,2.1780224328318708e-17,3.3214842100686027e-16
IncF,ST131,151,151,224,293,inf,1.7355579090060762e-14,2.4431315180623994e-13
ColpVC,ST131,2,151,81,293,0.03513132819620515,3.176317213569864e-14,4.151900357737751e-13
IncN4,ST131,29,151,1,293,69.40983606557377,8.036334961765112e-14,9.804328653353438e-13
IncI1,ST131,12,151,109,293,0.14573295492046728,4.684927577129149e-12,5.358385916341464e-11
IncX3,ST10,1,104,92,340,0.026171380329252848,3.030187896453333e-11,3.261908147358588e-10
ColRNAI,ST167,91,189,50,255,3.807142857142857,2.1257589697338697e-10,2.161188285896101e-09
IncF,ST167,181,189,194,255,7.114046391752577,3.914421485397514e-09,3.7702059569881316e-08
IncY,ST167,5,189,52,255,0.10608277591973245,5.348015560772428e-09,4.893434238106772e-08
ColpVC,ST10,2,104,81,340,0.06269668361171629,1.441771106353404e-08,1.2564005355365378e-07
IncY,ST10,31,104,26,340,5.128556375131717,4.591424239832455e-08,3.8192301631333607e-07
ColMG828,ST167,85,189,57,255,2.8390688259109313,6.521815721802079e-07,5.189096856912089e-06
IncN4,ST167,1,189,29,255,0.04145267791636097,1.0438852863892142e-06,7.959625308717759e-06
Col(MP18)_1,ST10,8,104,0,340,inf,7.3266393601478334e-06,5.1568269342578987e-05
IncB/O/K/Z_1,ST10,8,104,0,340,inf,7.3266393601478334e-06,5.1568269342578987e-05
ColRNAI,ST131,28,151,113,293,0.3626160155406864,1.4921051056196099e-05,0.00010113156826977355
ColMG828,ST10,16,104,126,340,0.3088023088023088,2.188191959241963e-05,0.0001430139744790283
IncB/O/K/Z_2,ST10,8,104,1,340,28.25,5.303411426749212e-05,0.00033466354865348475
IncI1,ST10,14,104,107,340,0.3387331256490135,0.00023366224439508337,0.0014253396908100087
IncN4,ST10,0,104,30,340,0.0,0.0004660515693005274,0.0027512076510321456
IncX1_4,ST10,5,104,0,340,inf,0.0006541718892573455,0.0036276804767907344
p0111_1,ST10,5,104,0,340,inf,0.0006541718892573455,0.0036276804767907344
IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5,ST167,8,189,0,255,inf,0.00098847555564135,0.005320324314187265
Col(IRGK)_1,ST167,7,189,0,255,inf,0.0023734275704135714,0.012409635582448102
ColRNAI,ST10,22,104,119,340,0.49825783972125437,0.008060769387012438,0.04097557771731323
ColpHAD28,ST10,43,104,190,340,0.5565142364106989,0.01002263464389407,0.049571409184665266
IncFIA(HI1)_1_HI1,ST10,4,104,1,340,13.56,0.011775094006632219,0.05525236418496657
IncFII(pCoo)_1_pCoo,ST10,4,104,1,340,13.56,0.011775094006632219,0.05525236418496657
Col(MP18)_1,ST167,0,189,8,255,0.0,0.02335667434166375,0.10425052206157234
IncB/O/K/Z_1,ST167,0,189,8,255,0.0,0.02335667434166375,0.10425052206157234
IncFIB(Mar)_1_pNDM-Mar,ST167,4,189,0,255,inf,0.03223492388277941,0.12823893631627462
RepB_1_pC39,ST167,4,189,0,255,inf,0.03223492388277941,0.12823893631627462
Col(IMGS31)_1,ST167,4,189,0,255,inf,0.03223492388277941,0.12823893631627462
IncL/M(pOXA-48)_1_pOXA-48,ST167,4,189,0,255,inf,0.03223492388277941,0.12823893631627462
IncB/O/K/Z_2,ST131,0,151,9,293,0.0,0.03149990670675808,0.12823893631627462
IncHI1A_1,ST10,3,104,1,340,10.069306930693068,0.04163642151388039,0.15549928851102265
IncHI1B(R27)_1_R27,ST10,3,104,1,340,10.069306930693068,0.04163642151388039,0.15549928851102265
ColpEC648,ST131,8,151,5,293,3.2223776223776226,0.04090898616781034,0.15549928851102265
IncX10_1,ST131,4,151,1,293,7.945578231292517,0.047728852810704964,0.17126235420311783
IncX4_2,ST131,4,151,1,293,7.945578231292517,0.047728852810704964,0.17126235420311783
IncR_1,ST10,2,104,0,340,inf,0.054460781323083796,0.17864387864232975
IncFIB(K)_1_Kpn3,ST10,2,104,0,340,inf,0.054460781323083796,0.17864387864232975
IncB/O/K/Z_3,ST10,2,104,0,340,inf,0.054460781323083796,0.17864387864232975
IncB/O/K/Z_1,ST131,0,151,8,293,0.0,0.055643175314824024,0.17864387864232975
IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5,ST131,0,151,8,293,0.0,0.055643175314824024,0.17864387864232975
Col(MP18)_1,ST131,0,151,8,293,0.0,0.055643175314824024,0.17864387864232975
IncX1_4,ST167,0,189,5,255,0.0,0.0749957595330056,0.2287370665756671
p0111_1,ST167,0,189,5,255,0.0,0.0749957595330056,0.2287370665756671
IncX4_2,ST167,0,189,5,255,0.0,0.0749957595330056,0.2287370665756671
IncX1_1,ST167,1,189,8,255,0.16422872340425532,0.08509547187111588,0.2511688927808743
IncB/O/K/Z_2,ST167,1,189,8,255,0.16422872340425532,0.08509547187111588,0.2511688927808743
Col(IRGK)_1,ST131,0,151,7,293,0.0,0.1010974668465241,0.29366407036371284
IncFII(pHN7A8)_1_pHN7A8,ST131,2,151,0,293,inf,0.11515465804404855,0.3054101800298679
IncX4_1,ST131,2,151,0,293,inf,0.11515465804404855,0.3054101800298679
Col440I_1,ST131,1,151,10,293,0.18866666666666668,0.10756391846861164,0.3054101800298679
IncFII(pEH01)_1,ST131,2,151,0,293,inf,0.11515465804404855,0.3054101800298679
IncFIB(pB171)_1_pB171,ST131,2,151,0,293,inf,0.11515465804404855,0.3054101800298679
IncI2_1_Delta,ST131,2,151,0,293,inf,0.11515465804404855,0.3054101800298679
IncN_1,ST10,2,104,1,340,6.647058823529412,0.13824659874321274,0.34000723461083837
Col440I_1,ST10,5,104,6,340,2.8114478114478114,0.13934722729952392,0.34000723461083837
IncHI2A_1,ST10,2,104,1,340,6.647058823529412,0.13824659874321274,0.34000723461083837
RepA_1_pKPC-CAV1321,ST10,2,104,1,340,6.647058823529412,0.13824659874321274,0.34000723461083837
ColMG828,ST131,41,151,101,293,0.7085508550855085,0.13293711780755757,0.34000723461083837
IncHI2_1,ST10,2,104,1,340,6.647058823529412,0.13824659874321274,0.34000723461083837
IncX1_4,ST131,0,151,5,293,0.0,0.17142012883187452,0.392123544702913
IncFII(pCoo)_1_pCoo,ST131,0,151,5,293,0.0,0.17142012883187452,0.392123544702913
IncFIA(HI1)_1_HI1,ST131,0,151,5,293,0.0,0.17142012883187452,0.392123544702913
p0111_1,ST131,0,151,5,293,0.0,0.17142012883187452,0.392123544702913
ColpEC648,ST167,3,189,10,255,0.3951612903225806,0.16833223433785627,0.392123544702913
Col8282_1,ST167,2,189,0,255,inf,0.18064791653956438,0.4081304781079047
rep14a_1_CDS2(pEFNP1),ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
rep14a_4_rep(AUS0004p3),ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
Col(IRGK)_1,ST10,0,104,7,340,0.0,0.20762430437314688,0.45600920069005174
rep14b_4_EMQU3221(pQY003),ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
repUS43_1_CDS12738(DOp1),ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
rep9a_1_repA(pAD1),ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
IncQ1_1,ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
rep7a_17_CDS4(pS194),ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
ColE10_1,ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
IncI2_1,ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
IncX1_1,ST10,4,104,5,340,2.68,0.22363645682244576,0.45600920069005174
IncFII(pSE11)_1_pSE11,ST10,1,104,0,340,inf,0.23423423423423423,0.45600920069005174
IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5,ST10,0,104,8,340,0.0,0.2071847452712262,0.45600920069005174
Col440II_1,ST167,1,189,5,255,0.26595744680851063,0.2466212457458209,0.47507039969984444
IncHI2A_1,ST167,0,189,3,255,0.0,0.26491672259166615,0.4946914309619888
RepA_1_pKPC-CAV1321,ST167,0,189,3,255,0.0,0.26491672259166615,0.4946914309619888
