Gene,ST,Present_ST,Total_ST,Present_others,Total_others,OddsRatio,p_fisher,p_fisher_adj
chuA,ST131,151,151,0,293,inf,6.0019930929861534e-123,2.565852047251581e-121
chuT,ST131,151,151,0,293,inf,6.0019930929861534e-123,2.565852047251581e-121
chuV,ST131,151,151,0,293,inf,6.0019930929861534e-123,2.565852047251581e-121
chuX,ST131,151,151,0,293,inf,6.0019930929861534e-123,2.565852047251581e-121
chuS,ST131,151,151,1,293,inf,9.123029501338955e-121,3.120076089457923e-119
chuU,ST131,150,151,0,293,inf,1.7645859693379294e-120,5.029070012613099e-119
chuW,ST131,149,151,0,293,inf,2.602764304773447e-118,6.35818137308942e-117
sat,ST131,146,151,9,293,921.4222222222222,1.0950195659445261e-98,2.3406043222064246e-97
kpsU,ST131,149,151,16,293,1289.78125,1.585398852126546e-96,3.0122578190404375e-95
kpsE,ST131,148,151,16,293,854.0833333333334,1.33674235633431e-94,2.28582942933167e-93
fimH,ST167,18,189,250,255,0.002105263157894737,4.66774715736236e-94,7.256225126445124e-93
kpsD,ST131,147,151,16,293,636.234375,8.477822705476816e-93,1.2080897355304464e-91
iucB,ST131,149,151,34,293,567.5147058823529,2.1970618217344964e-81,2.889981319358453e-80
iucA,ST131,148,151,35,293,363.65714285714284,8.08283855183846e-79,9.872609945459835e-78
iutA,ST131,144,151,35,293,151.64081632653063,1.9764004166895283e-72,2.2530964750260624e-71
iucC,ST131,142,151,35,293,116.3047619047619,1.262485615752882e-69,1.3492815018358926e-68
iucD,ST131,142,151,36,293,112.6358024691358,6.033556807646624e-69,6.0690483182798404e-68
papA,ST131,103,151,1,293,626.5833333333334,5.012313046585247e-62,4.7616973942559845e-61
kpsU,ST167,0,189,165,255,0.0,6.826149422505067e-56,6.143534480254561e-55
kpsE,ST167,0,189,164,255,0.0,2.2550993469911894e-55,1.9281099416774672e-54
kpsD,ST167,0,189,163,255,0.0,7.755464026193195e-55,6.315163564185887e-54
sat,ST167,0,189,155,255,0.0,6.448151163300254e-51,5.011972040565197e-50
iucB,ST167,7,189,176,255,0.017263986013986012,2.8420184524589237e-50,2.024938147376983e-49
iucA,ST167,7,189,176,255,0.017263986013986012,2.8420184524589237e-50,2.024938147376983e-49
chuS,ST167,0,189,152,255,0.0,9.01792960585942e-50,6.1682638504078434e-49
chuX,ST167,0,189,151,255,0.0,2.7413635539749845e-49,1.616459199068008e-48
chuA,ST167,0,189,151,255,0.0,2.7413635539749845e-49,1.616459199068008e-48
chuV,ST167,0,189,151,255,0.0,2.7413635539749845e-49,1.616459199068008e-48
chuT,ST167,0,189,151,255,0.0,2.7413635539749845e-49,1.616459199068008e-48
chuU,ST167,0,189,150,255,0.0,8.623104254915126e-49,4.915169425301622e-48
iutA,ST167,7,189,172,255,0.018559928443649374,1.9674133576802625e-48,1.0852505940752417e-47
chuW,ST167,0,189,149,255,0.0,2.840034718012171e-48,1.5176435524377542e-47
iucD,ST167,7,189,171,255,0.018893387314439947,6.992214877199849e-48,3.623238618185376e-47
iucC,ST167,7,189,170,255,0.019230769230769232,2.6328182467062314e-47,1.3241527064316635e-46
fimH,ST131,150,151,118,293,222.45762711864407,3.812332803032395e-42,1.862596883767256e-41
papC,ST131,72,151,0,293,inf,1.0446384004219448e-40,4.9620324020042386e-40
papG,ST131,72,151,1,293,266.126582278481,6.028574510822126e-39,2.712858529869957e-38
papH,ST131,72,151,1,293,266.126582278481,6.028574510822126e-39,2.712858529869957e-38
papF,ST131,72,151,2,293,132.60759493670886,1.762150206810985e-37,7.726350906786626e-37
fyuA,ST131,149,151,138,293,83.67753623188406,7.802898447552702e-34,3.3357390863287806e-33
irp2,ST131,148,151,134,293,58.53731343283582,2.159845011581382e-33,9.008134072693082e-33
papA,ST167,0,189,104,255,0.0,1.2261131891732082e-30,4.992032270205205e-30
irp2,ST10,18,104,264,340,0.06025369978858351,7.948187698786048e-29,3.160790922075382e-28
fyuA,ST10,23,104,264,340,0.0817433595211373,1.50886016946656e-24,5.863979294972313e-24
cnf1,ST131,45,151,0,293,inf,5.581898295774791e-24,2.1211213523944208e-23
chuA,ST10,0,104,151,340,0.0,1.1918986826366043e-22,4.1594831577726396e-22
chuT,ST10,0,104,151,340,0.0,1.1918986826366043e-22,4.1594831577726396e-22
chuX,ST10,0,104,151,340,0.0,1.1918986826366043e-22,4.1594831577726396e-22
chuV,ST10,0,104,151,340,0.0,1.1918986826366043e-22,4.1594831577726396e-22
chuU,ST10,0,104,150,340,0.0,1.3400505199131428e-22,4.582972778102948e-22
chuW,ST10,0,104,149,340,0.0,3.1621590997681984e-22,1.060253345216396e-21
chuS,ST10,1,104,151,340,0.012151996399408475,4.761113740614375e-21,1.5488629066440835e-20
fimH,ST10,100,104,168,340,25.595238095238095,4.800569242814995e-21,1.5488629066440835e-20
papF,ST167,0,189,74,255,0.0,1.2182652696502776e-20,3.8578400205592126e-20
papH,ST167,0,189,73,255,0.0,2.827775300072525e-20,8.63481386272146e-20
papG,ST167,0,189,73,255,0.0,2.827775300072525e-20,8.63481386272146e-20
papC,ST167,0,189,72,255,0.0,3.1895647361691825e-20,9.568694208507547e-20
hlyA,ST131,45,151,3,293,41.0377358490566,3.904598925431588e-20,1.1128106937480026e-19
hlyC,ST131,45,151,3,293,41.0377358490566,3.904598925431588e-20,1.1128106937480026e-19
hlyD,ST131,45,151,3,293,41.0377358490566,3.904598925431588e-20,1.1128106937480026e-19
hlyA,ST167,0,189,48,255,0.0,4.030798319744993e-13,1.0940738296450695e-12
hlyD,ST167,0,189,48,255,0.0,4.030798319744993e-13,1.0940738296450695e-12
hlyC,ST167,0,189,48,255,0.0,4.030798319744993e-13,1.0940738296450695e-12
papA,ST10,1,104,103,340,0.022339523046469977,5.645450942310003e-13,1.5083939236484542e-12
cnf1,ST167,0,189,45,255,0.0,3.3108745229501214e-12,8.710146821914936e-12
sat,ST10,9,104,146,340,0.12588320115356885,6.279826572608508e-12,1.627045975630386e-11
papC,ST10,0,104,72,340,0.0,9.945658218337045e-10,2.5383694855755745e-09
papH,ST10,1,104,72,340,0.036138079827400214,1.6401641330770996e-08,4.0066866679454865e-08
ireA,ST10,12,104,0,340,inf,1.6389174644531902e-08,4.0066866679454865e-08
papG,ST10,1,104,72,340,0.036138079827400214,1.6401641330770996e-08,4.0066866679454865e-08
kpsU,ST10,16,104,149,340,0.23306894447834045,6.116263977235104e-08,1.473072028320004e-07
kpsE,ST10,16,104,148,340,0.23587223587223588,6.646111604312793e-08,1.5784515060242882e-07
kpsD,ST10,16,104,147,340,0.23871366728509585,1.0982154850691885e-07,2.5725321636552227e-07
papF,ST10,2,104,72,340,0.07298474945533769,2.668805278066309e-07,6.167104088504578e-07
cnf1,ST10,0,104,45,340,0.0,3.705374918051427e-06,8.448254813157255e-06
kpsT,ST10,9,104,2,340,16.010526315789473,5.728146666522646e-05,0.00012888329999675952
iucB,ST10,27,104,156,340,0.41358641358641357,0.000267164755120128,0.0005933139366953493
iucA,ST10,28,104,155,340,0.4397283531409168,0.0006444718777326543,0.0014128806550292806
iutA,ST10,28,104,151,340,0.4611362844196584,0.0013869809155579512,0.003002199196967211
ireA,ST167,0,189,12,255,0.0,0.0016741798011798553,0.003578559325021941
hlyC,ST10,3,104,45,340,0.19471947194719472,0.0018280612806352544,0.0037662467348027534
hlyD,ST10,3,104,45,340,0.19471947194719472,0.0018280612806352544,0.0037662467348027534
hlyA,ST10,3,104,45,340,0.19471947194719472,0.0018280612806352544,0.0037662467348027534
iucC,ST10,28,104,149,340,0.4722712822324267,0.0020046897121886453,0.004080975485526886
