Assembly	BioSample	Taxonomy	BioProject	Country
GCA_907164495.1	SAMEA8550497		PRJEB42795	Rwanda
GCA_907164515.1	SAMEA8550502		PRJEB42795	Rwanda
GCA_907164465.1	SAMEA8550500		PRJEB42795	Rwanda
GCA_907164475.1	SAMEA8550501		PRJEB42795	Rwanda
GCA_907164485.1	SAMEA8550496		PRJEB42795	Rwanda
GCA_907164445.1	SAMEA8550498		PRJEB42795	Rwanda
GCA_907164455.1	SAMEA8550499		PRJEB42795	Rwanda
GCA_907164425.1	SAMEA8550493		PRJEB42795	Rwanda
GCA_907164415.1	SAMEA8550495		PRJEB42795	Rwanda
GCA_907164405.1	SAMEA8550494		PRJEB42795	Rwanda
GCA_907164395.1	SAMEA8550490		PRJEB42795	Rwanda
GCA_907164355.1	SAMEA8550488		PRJEB42795	Rwanda
GCA_907164375.1	SAMEA8550487		PRJEB42795	Rwanda
GCA_907164345.1	SAMEA8550492		PRJEB42795	Rwanda
GCA_907164365.1	SAMEA8550489		PRJEB42795	Rwanda
GCA_907164385.1	SAMEA8550491		PRJEB42795	Rwanda
GCA_907164335.1	SAMEA8550483		PRJEB42795	Rwanda
GCA_907164325.1	SAMEA8550482		PRJEB42795	Rwanda
GCA_907164305.1	SAMEA8550480		PRJEB42795	Rwanda
GCA_907164295.1	SAMEA8550484		PRJEB42795	Rwanda
GCA_907164315.1	SAMEA8550485		PRJEB42795	Rwanda
GCA_907164235.1	SAMEA8550478		PRJEB42795	Rwanda
GCA_907164265.1	SAMEA8550479		PRJEB42795	Rwanda
GCA_907164275.1	SAMEA8550477		PRJEB42795	Rwanda
GCA_907164255.1	SAMEA8550481		PRJEB42795	Rwanda
GCA_907164245.1	SAMEA8550486		PRJEB42795	Rwanda
GCA_907164285.1	SAMEA8550476		PRJEB42795	Rwanda
GCA_907164225.1	SAMEA8550473		PRJEB42795	Rwanda
GCA_907164215.1	SAMEA8550471		PRJEB42795	Rwanda
GCA_907164205.1	SAMEA8550472		PRJEB42795	Rwanda
GCA_907164195.1	SAMEA8550474		PRJEB42795	Rwanda
GCA_907164185.1	SAMEA8550475		PRJEB42795	Rwanda
GCA_907164165.1	SAMEA8550466		PRJEB42795	Rwanda
GCA_907164175.1	SAMEA8550465		PRJEB42795	Rwanda
GCA_907164055.1	SAMEA8550467		PRJEB42795	Rwanda
GCA_907164155.1	SAMEA8550468		PRJEB42795	Rwanda
GCA_907164065.1	SAMEA8550457		PRJEB42795	Rwanda
GCA_907164085.1	SAMEA8550460		PRJEB42795	Rwanda
GCA_907164095.1	SAMEA8550458		PRJEB42795	Rwanda
GCA_907164115.1	SAMEA8550461		PRJEB42795	Rwanda
GCA_907164075.1	SAMEA8550459		PRJEB42795	Rwanda
GCA_907164135.1	SAMEA8550462		PRJEB42795	Rwanda
GCA_907164045.1	SAMEA8550470		PRJEB42795	Rwanda
GCA_907164145.1	SAMEA8550463		PRJEB42795	Rwanda
GCA_907164105.1	SAMEA8550469		PRJEB42795	Rwanda
GCA_907164125.1	SAMEA8550464		PRJEB42795	Rwanda
GCA_907164035.1	SAMEA8550455		PRJEB42795	Rwanda
GCA_907164025.1	SAMEA8550456		PRJEB42795	Rwanda
GCA_907164015.1	SAMEA8550448		PRJEB42795	Rwanda
GCA_907164005.1	SAMEA8550453		PRJEB42795	Rwanda
GCA_907163995.1	SAMEA8550454		PRJEB42795	Rwanda
GCA_907163985.1	SAMEA8550450		PRJEB42795	Rwanda
GCA_907163975.1	SAMEA8550452		PRJEB42795	Rwanda
GCA_907163965.1	SAMEA8550447		PRJEB42795	Rwanda
GCA_907163955.1	SAMEA8550449		PRJEB42795	Rwanda
GCA_907163935.1	SAMEA8550446		PRJEB42795	Rwanda
GCA_907163945.1	SAMEA8550451		PRJEB42795	Rwanda
GCA_907163925.1	SAMEA8550441		PRJEB42795	Rwanda
GCA_907163895.1	SAMEA8550436		PRJEB42795	Rwanda
GCA_907163885.1	SAMEA8550439		PRJEB42795	Rwanda
GCA_907163915.1	SAMEA8550438		PRJEB42795	Rwanda
GCA_907163905.1	SAMEA8550437		PRJEB42795	Rwanda
GCA_907163865.1	SAMEA8550443		PRJEB42795	Rwanda
GCA_907163835.1	SAMEA8550442		PRJEB42795	Rwanda
GCA_907163845.1	SAMEA8550440		PRJEB42795	Rwanda
GCA_907163855.1	SAMEA8550445		PRJEB42795	Rwanda
GCA_907163875.1	SAMEA8550444		PRJEB42795	Rwanda
GCA_907163825.1	SAMEA8550428		PRJEB42795	Rwanda
GCA_907163795.1	SAMEA8550434		PRJEB42795	Rwanda
GCA_907163755.1	SAMEA8550433		PRJEB42795	Rwanda
GCA_907163815.1	SAMEA8550431		PRJEB42795	Rwanda
GCA_907163765.1	SAMEA8550432		PRJEB42795	Rwanda
GCA_907163785.1	SAMEA8550427		PRJEB42795	Rwanda
GCA_907163805.1	SAMEA8550429		PRJEB42795	Rwanda
GCA_907163775.1	SAMEA8550435		PRJEB42795	Rwanda
GCA_907163745.1	SAMEA8550430		PRJEB42795	Rwanda
GCA_907163725.1	SAMEA8550419		PRJEB42795	Rwanda
GCA_907163715.1	SAMEA8550421		PRJEB42795	Rwanda
GCA_907163735.1	SAMEA8550420		PRJEB42795	Rwanda
GCA_907163705.1	SAMEA8550423		PRJEB42795	Rwanda
GCA_907163695.1	SAMEA8550417		PRJEB42795	Rwanda
GCA_907163685.1	SAMEA8550422		PRJEB42795	Rwanda
GCA_907163675.1	SAMEA8550424		PRJEB42795	Rwanda
GCA_907163655.1	SAMEA8550426		PRJEB42795	Rwanda
GCA_907163665.1	SAMEA8550425		PRJEB42795	Rwanda
GCA_907163645.1	SAMEA8550415		PRJEB42795	Rwanda
GCA_907163635.1	SAMEA8550416		PRJEB42795	Rwanda
GCA_907163615.1	SAMEA8550414		PRJEB42795	Rwanda
GCA_907163605.1	SAMEA8550408		PRJEB42795	Rwanda
GCA_907163625.1	SAMEA8550407		PRJEB42795	Rwanda
GCA_907163585.1	SAMEA8550412		PRJEB42795	Rwanda
GCA_907163575.1	SAMEA8550413		PRJEB42795	Rwanda
GCA_907163555.1	SAMEA8550411		PRJEB42795	Rwanda
GCA_907163595.1	SAMEA8550410		PRJEB42795	Rwanda
GCA_907163565.1	SAMEA8550409		PRJEB42795	Rwanda
GCA_907163525.1	SAMEA8550403		PRJEB42795	Rwanda
GCA_907163545.1	SAMEA8550401		PRJEB42795	Rwanda
GCA_907163535.1	SAMEA8550399		PRJEB42795	Rwanda
GCA_907163515.1	SAMEA8550406		PRJEB42795	Rwanda
GCA_907163505.1	SAMEA8550400		PRJEB42795	Rwanda
GCA_907163475.1	SAMEA8550402		PRJEB42795	Rwanda
GCA_907163495.1	SAMEA8550405		PRJEB42795	Rwanda
GCA_907163485.1	SAMEA8550404		PRJEB42795	Rwanda
GCA_907163465.1	SAMEA8550398		PRJEB42795	Rwanda
GCA_907163455.1	SAMEA8550390		PRJEB42795	Rwanda
GCA_907163435.1	SAMEA8550394		PRJEB42795	Rwanda
GCA_907163395.1	SAMEA8550393		PRJEB42795	Rwanda
GCA_907163385.1	SAMEA8550392		PRJEB42795	Rwanda
GCA_907163445.1	SAMEA8550391		PRJEB42795	Rwanda
GCA_907163415.1	SAMEA8550395		PRJEB42795	Rwanda
GCA_907163425.1	SAMEA8550396		PRJEB42795	Rwanda
GCA_907163405.1	SAMEA8550397		PRJEB42795	Rwanda
GCA_907163365.1	SAMEA8550387		PRJEB42795	Rwanda
GCA_907163355.1	SAMEA8550382		PRJEB42795	Rwanda
GCA_907163305.1	SAMEA8550389		PRJEB42795	Rwanda
GCA_907163325.1	SAMEA8550384		PRJEB42795	Rwanda
GCA_907163285.1	SAMEA8550383		PRJEB42795	Rwanda
GCA_907163275.1	SAMEA8550388		PRJEB42795	Rwanda
GCA_907163295.1	SAMEA8550385		PRJEB42795	Rwanda
GCA_907163335.1	SAMEA8550386		PRJEB42795	Rwanda
GCA_964007325.1	SAMEA115084389		PRJEB71714	Tanzania
GCA_964006465.1	SAMEA115084432		PRJEB71714	Tanzania
GCA_964006495.1	SAMEA115084374		PRJEB71714	Tanzania
GCA_964006255.1	SAMEA115084480		PRJEB71714	Tanzania
GCA_964006985.1	SAMEA115084441		PRJEB71714	Tanzania
GCA_964006995.1	SAMEA115084390		PRJEB71714	Tanzania
GCA_964006755.1	SAMEA115084468		PRJEB71714	Tanzania
GCA_964006505.1	SAMEA115084377		PRJEB71714	Tanzania
GCA_964006925.1	SAMEA115084388		PRJEB71714	Tanzania
GCA_964006915.1	SAMEA115084413		PRJEB71714	Tanzania
GCA_964007195.1	SAMEA115084404		PRJEB71714	Tanzania
GCA_964006905.1	SAMEA115084423		PRJEB71714	Tanzania
GCA_964006645.1	SAMEA115084449		PRJEB71714	Tanzania
GCA_964006825.1	SAMEA115084435		PRJEB71714	Tanzania
GCA_964006895.1	SAMEA115084407		PRJEB71714	Tanzania
GCA_964006655.1	SAMEA115084414		PRJEB71714	Tanzania
GCA_964006415.1	SAMEA115084396		PRJEB71714	Tanzania
GCA_964006405.1	SAMEA115084392		PRJEB71714	Tanzania
GCA_964006885.1	SAMEA115084434		PRJEB71714	Tanzania
GCA_964006815.1	SAMEA115084463		PRJEB71714	Tanzania
GCA_964006475.1	SAMEA115084385		PRJEB71714	Tanzania
GCA_964007005.1	SAMEA115084440		PRJEB71714	Tanzania
GCA_964006385.1	SAMEA115084372		PRJEB71714	Tanzania
GCA_964006145.1	SAMEA115084360		PRJEB71714	Tanzania
GCA_964007235.1	SAMEA115084398		PRJEB71714	Tanzania
GCA_964006175.1	SAMEA115084362		PRJEB71714	Tanzania
GCA_964007265.1	SAMEA115084386		PRJEB71714	Tanzania
GCA_964007025.1	SAMEA115084438		PRJEB71714	Tanzania
GCA_964006395.1	SAMEA115084399		PRJEB71714	Tanzania
GCA_964006155.1	SAMEA115084364		PRJEB71714	Tanzania
GCA_964007015.1	SAMEA115084952		PRJEB71714	Tanzania
GCA_964007255.1	SAMEA115084354		PRJEB71714	Tanzania
GCA_964007495.1	SAMEA115084950		PRJEB71714	Tanzania
GCA_964006805.1	SAMEA115084457		PRJEB71714	Tanzania
GCA_964007085.1	SAMEA115084408		PRJEB71714	Tanzania
GCA_964007075.1	SAMEA115084429		PRJEB71714	Tanzania
GCA_964007095.1	SAMEA115084402		PRJEB71714	Tanzania
GCA_964006875.1	SAMEA115084443		PRJEB71714	Tanzania
GCA_964006635.1	SAMEA115084450		PRJEB71714	Tanzania
GCA_964006625.1	SAMEA115084445		PRJEB71714	Tanzania
GCA_964006865.1	SAMEA115084387		PRJEB71714	Tanzania
GCA_964006615.1	SAMEA115084444		PRJEB71714	Tanzania
GCA_964006335.1	SAMEA115084368		PRJEB71714	Tanzania
GCA_964006565.1	SAMEA115084380		PRJEB71714	Tanzania
GCA_964007425.1	SAMEA115084422		PRJEB71714	Tanzania
GCA_964006325.1	SAMEA115084416		PRJEB71714	Tanzania
GCA_964007285.1	SAMEA115084393		PRJEB71714	Tanzania
GCA_964006195.1	SAMEA115084474		PRJEB71714	Tanzania
GCA_964007045.1	SAMEA115084433		PRJEB71714	Tanzania
GCA_964006185.1	SAMEA115084476		PRJEB71714	Tanzania
GCA_964007275.1	SAMEA115084383		PRJEB71714	Tanzania
GCA_964007035.1	SAMEA115084442		PRJEB71714	Tanzania
GCA_964007065.1	SAMEA115084436		PRJEB71714	Tanzania
GCA_964007295.1	SAMEA115084391		PRJEB71714	Tanzania
GCA_964007055.1	SAMEA115084437		PRJEB71714	Tanzania
GCA_964007485.1	SAMEA115084428		PRJEB71714	Tanzania
GCA_964006795.1	SAMEA115084461		PRJEB71714	Tanzania
