genome	C(%)	S(%)	D(%)	F(%)	M(%)	scaffolds	contigs	total_length	scaffold_N50	contig_N50
GCA_000713235.1	99.6	99.3	0.4	0.2	0.2	140	140	5264612	119	119
GCA_009720065.1	99.6	99.3	0.4	0.2	0.2	208	208	5245824	173	173
GCA_009793215.1	99.6	99.4	0.2	0.2	0.2	99	99	4743072	188	188
GCA_009793445.1	99.6	99.4	0.2	0.2	0.2	96	96	4744257	179	179
GCA_009793505.1	99.6	99.4	0.2	0.2	0.2	92	92	4747631	167	167
GCA_009793615.1	99.6	99.4	0.2	0.2	0.2	80	80	4743119	188	188
GCA_009793635.1	99.6	99.4	0.2	0.2	0.2	108	108	4786391	169	169
GCA_009793645.1	99.6	99.4	0.2	0.2	0.2	103	103	4740544	179	179
GCA_009793665.1	99.6	99.4	0.2	0.2	0.2	98	98	4742791	179	179
GCA_009793715.1	99.6	99.4	0.2	0.2	0.2	151	151	4979234	186	186
GCA_009793945.1	99.6	99.4	0.2	0.2	0.2	707	707	5530902	118	118
GCA_009794485.1	99.6	99.4	0.2	0.2	0.2	117	117	5030893	186	186
GCA_009795575.1	99.6	99.4	0.2	0.2	0.2	119	119	4744757	179	179
GCA_009795595.1	99.6	99.4	0.2	0.2	0.2	121	121	4748624	188	188
GCA_009795645.1	99.6	99.4	0.2	0.2	0.2	97	97	4741736	187	187
GCA_009798605.1	99.6	99.4	0.2	0.2	0.2	155	155	4657336	167	167
GCA_009823885.1	99.6	99.4	0.2	0.2	0.2	110	110	4642120	133	133
GCA_009823945.1	99.6	99.6	0.0	0.2	0.2	128	128	4765907	134	134
GCA_009824195.1	99.6	99.3	0.4	0.2	0.2	176	176	4874590	138	138
GCA_009824205.1	99.6	99.4	0.2	0.2	0.2	93	93	4806058	211	211
GCA_009824215.1	99.6	99.4	0.2	0.2	0.2	121	121	4519544	101	101
GCA_009824295.1	99.6	99.4	0.2	0.2	0.2	122	122	4866211	203	203
GCA_009824335.1	99.6	99.3	0.4	0.2	0.2	165	165	4870603	174	174
GCA_009824425.1	99.6	99.3	0.4	0.2	0.2	131	131	4856387	137	137
GCA_009824475.1	99.6	99.3	0.4	0.2	0.2	126	126	4851314	135	135
GCA_009824555.1	99.6	99.3	0.4	0.2	0.2	128	128	4851959	138	138
GCA_009824615.1	99.6	99.3	0.4	0.2	0.2	540	540	5273025	105	105
GCA_009824745.1	96.3	91.9	4.4	3.3	0.4	1419	1419	6077196	13	13
GCA_009824835.1	99.6	99.4	0.2	0.2	0.2	81	81	4680920	163	163
GCA_009825065.1	98.5	87.8	10.7	0.2	1.3	2207	2207	6654516	87	87
GCA_009825195.1	99.6	99.3	0.4	0.2	0.2	164	164	4865441	138	138
GCA_009825265.1	99.6	99.4	0.2	0.2	0.2	166	166	4843141	104	104
GCA_009900075.1	99.6	99.4	0.2	0.2	0.2	132	132	4909482	138	138
GCA_009900285.1	99.6	99.4	0.2	0.2	0.2	130	130	4993602	155	155
GCA_009900425.1	99.6	99.4	0.2	0.2	0.2	169	169	4631696	124	124
GCA_009900585.1	99.6	99.4	0.2	0.2	0.2	104	104	4744654	149	149
GCA_009900625.1	99.6	99.4	0.2	0.2	0.2	113	113	4752528	227	227
GCA_009900645.1	99.6	98.9	0.7	0.2	0.2	1121	1121	5286776	227	227
GCA_009901125.1	99.6	99.4	0.2	0.2	0.2	122	122	4971573	158	158
GCA_009901145.1	99.6	99.3	0.4	0.2	0.2	153	153	4766290	148	148
GCA_009901165.1	99.6	99.3	0.4	0.2	0.2	284	284	4830382	129	129
GCA_009901185.1	99.6	99.6	0.0	0.2	0.2	124	124	4871864	210	210
GCA_011317875.1	99.6	99.3	0.4	0.2	0.2	151	151	4782945	291	291
GCA_011317975.1	99.6	99.3	0.4	0.2	0.2	160	160	4778956	197	197
GCA_011318395.1	99.6	99.4	0.2	0.2	0.2	644	644	4995943	112	112
GCA_011763075.1	99.6	99.4	0.2	0.2	0.2	156	156	4700115	90	90
GCA_011763135.1	99.6	99.4	0.2	0.2	0.2	104	104	4743936	168	168
GCA_011763275.1	99.6	99.4	0.2	0.2	0.2	174	174	4704788	90	90
GCA_011763295.1	99.6	99.4	0.2	0.2	0.2	110	110	4685269	155	155
GCA_011763315.1	99.6	99.6	0.0	0.2	0.2	302	302	4973003	109	109
GCA_018972205.1	99.6	99.3	0.4	0.2	0.2	2	2	5202633	5	5
GCA_018972225.1	99.4	99.1	0.4	0.4	0.2	4	4	5212963	5	5
GCA_018972245.1	99.6	99.3	0.4	0.2	0.2	4	4	5190273	5	5
GCA_018972265.1	99.6	99.3	0.4	0.2	0.2	4	4	5337095	5	5
GCA_019355495.1	99.6	99.3	0.4	0.2	0.2	5	5	5392098	5	5
GCA_022488185.1	92.8	92.6	0.2	0.7	6.5	1	1	4640960	4	4
GCA_022488205.1	99.6	99.4	0.2	0.2	0.2	1	1	4641599	4	4
GCA_022488345.1	99.1	98.9	0.2	0.2	0.7	1	1	4641178	4	4
GCA_022968555.1	99.6	99.3	0.4	0.2	0.2	181	181	5067872	89	89
GCA_024330145.2	99.6	99.4	0.2	0.2	0.2	4	4	4780349	4	4
GCA_024331345.2	99.6	99.4	0.2	0.2	0.2	2	2	5024058	4	4
GCA_024700835.2	99.6	99.4	0.2	0.2	0.2	4	4	4628945	4	4
GCA_025536495.1	99.4	99.3	0.2	0.4	0.2	153	170	4693095	106	82
GCA_025536555.1	99.4	99.4	0.0	0.4	0.2	193	210	4582499	88	74
GCA_025536675.1	99.6	99.4	0.2	0.2	0.2	17	19	4858794	2	2
GCA_025544715.1	99.3	99.1	0.2	0.6	0.2	524	543	5228989	88	66
GCA_025544835.1	98.0	97.8	0.2	1.8	0.2	365	373	4736055	34	34
GCA_025630975.1	99.6	99.4	0.2	0.2	0.2	124	124	4711974	118	118
GCA_030024465.1	99.1	98.7	0.4	0.2	0.7	531	534	5278227	156	140
GCA_030024825.1	99.6	99.4	0.2	0.2	0.2	204	205	4676559	124	124
GCA_030025055.1	99.1	98.7	0.4	0.2	0.7	193	194	5154594	243	243
GCA_030520165.1	99.6	99.4	0.2	0.2	0.2	3	3	5088163	4	4
GCA_037046935.1	99.6	99.3	0.4	0.2	0.2	241	241	5250905	130	130
GCA_037047155.1	99.6	99.6	0.0	0.2	0.2	238	238	5310713	110	110
GCA_037047175.1	99.6	99.3	0.4	0.2	0.2	192	192	5123945	123	123
GCA_037047235.1	99.6	99.1	0.6	0.2	0.2	243	243	5201573	103	103
GCA_037047245.1	99.6	99.3	0.4	0.2	0.2	293	293	5284994	107	107
GCA_037047345.1	99.6	99.3	0.4	0.2	0.2	186	186	5106604	112	112
GCA_037047365.1	99.3	99.1	0.2	0.6	0.2	427	427	5356699	70	70
GCA_037047485.1	99.6	99.1	0.6	0.2	0.2	312	312	5257382	130	130
GCA_037047525.1	99.4	99.1	0.4	0.4	0.2	263	263	5192561	114	114
GCA_037047605.1	99.4	99.1	0.4	0.4	0.2	215	215	4924057	114	114
GCA_037047645.1	99.4	99.1	0.4	0.4	0.2	252	252	5344393	122	122
GCA_037047685.1	99.6	99.3	0.4	0.2	0.2	237	237	5241275	112	112
GCA_037047805.1	99.6	99.4	0.2	0.2	0.2	206	206	4879953	73	73
GCA_037047825.1	99.6	99.3	0.4	0.2	0.2	220	220	5152953	110	110
GCA_037047925.1	99.3	98.9	0.4	0.6	0.2	230	230	5159952	117	117
GCA_037048105.1	99.6	99.3	0.4	0.2	0.2	179	179	5293638	142	142
GCA_037048165.1	99.6	99.4	0.2	0.2	0.2	131	131	4887246	112	112
GCA_037048185.1	99.1	98.7	0.4	0.7	0.2	218	218	5262842	103	103
