sample,st,serotype,critical_amr_genes,critical_virulence_genes
GCA_040417445.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-190']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040415535.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-35', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964006385.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaOXA-1', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_050112975.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1', 'blaTEM-190', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964007355.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964205585.1,ST131,O16:H5,"['blaCTX-M-15', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040418745.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040417055.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaOXA', 'blaTEM-190']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat']"
GCA_040415975.1,ST167,O101:H17,"['blaCTX-M-55', 'blaNDM-5']","['rhs/PAAR', 'ybtE', 'east1', 'ibeB', 'aaiW', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'astA', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040416845.1,ST167,O101:H9,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaOXA-48', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040417195.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040418145.1,ST167,O101:H9,"['blaNDM-5', 'blaTEM-169', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat']"
GCA_025536495.1,ST10,Unknown,"['blaCTX-M-15', 'blaTEM-1', 'qnrS1']","['ibeB', 'espX4', 'espR1', 'espX5', 'aatA', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_040416795.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'eaeH', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964007325.1,ST131,O16:H5,"['blaCTX-M-15', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'sitA', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'chuY', 'kpsS', 'fyuA/psn', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964206585.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'iucB', 'kpsC']"
GCA_040417015.1,ST167,O101:H5,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'eaeH', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat']"
GCA_040416375.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964006875.1,ST131,O16:H5,"['blaCTX-M-27', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
