Kaptive version	Database name	Database version	Assembly	ST	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details	ST
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_000713235.1	ST10	KL157		Untypeable	-	98.08%	0.42%	-19127	1 / 13 (7.69%)	KL157_08_DB_group_38,96.15%,96.30%	KL157_01_kpsF;KL157_02_kpsE;KL157_03_kpsD;KL157_04_kpsU;KL157_05_kpsC;KL157_06_kpsS;KL157_07_DB_group_44;KL157_09_DB_group_75;KL157_10_kpsT;KL157_11_DB_group_2;KL157_12_DB_group_101;KL157_13_kpsM	0		0 / 13 (0.00%)		3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL145_11_DB_group_98,100.00%,92.86%;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,100.00%,3.64%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated;KL173_12_DB_group_98_wckE_2,100.00%,6.13%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793215.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793445.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793505.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793615.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793635.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,partial;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,partial;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793645.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793665.1	ST10	KL145		Untypeable	-	98.72%	0.48%	-16691	1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%	KL145_01_kpsF;KL145_02_kpsE;KL145_03_kpsD;KL145_04_kpsU;KL145_05_kpsC;KL145_06_kpsS;KL145_07_DB_group_91;KL145_08_ugd;KL145_09_wcaK;KL145_10_kfoC;KL145_12_kpsT;KL145_13_kpsM	0		1 / 14 (7.14%)	KL145_11_DB_group_98,100.00%,92.86%;KL145_11_DB_group_98,96.15%,92.86%	3	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL186_09_DB_group_269,96.67%,24.39%,truncated;KL147_13_rmlB,100.00%,7.11%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793715.1	ST10	KL157		Untypeable	-	100.00%	0.40%	-19131	1 / 13 (7.69%)	KL157_08_DB_group_38,100.00%,92.59%	KL157_01_kpsF;KL157_02_kpsE;KL157_03_kpsD;KL157_04_kpsU;KL157_05_kpsC;KL157_06_kpsS;KL157_07_DB_group_44;KL157_09_DB_group_75;KL157_10_kpsT;KL157_11_DB_group_2;KL157_12_DB_group_101;KL157_13_kpsM	0		0 / 13 (0.00%)		2	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,96.15%,3.64%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL128_09_DB_group_51,96.15%,3.64%,truncated;KL147_13_rmlB,88.89%,7.11%,truncated		ST10
3.3.2	Escherichia_coli_Group_2_and_3_K	4.0.0	GCA_009793945.1	ST10	KL53	K53	Typeable		99.74%	100.00%	0	15 / 15 (100.00%)	KL53_01_kpsF,99.69%,99.70%;KL53_02_kpsE,99.74%,99.74%;KL53_03_kpsD,98.92%,99.82%;KL53_04_kpsU,98.37%,99.60%;KL53_05_kpsC,99.70%,99.85%;KL53_06_kpsS,100.00%,99.76%;KL53_07_DB_group_91,99.80%,99.80%;KL53_08_ugd,100.00%,99.74%;KL53_09_DB_group_165,100.00%,99.55%;KL53_10_glf,100.00%,99.73%;KL53_11_DB_group_49,99.85%,99.85%;KL53_12_DB_group_57,100.00%,99.83%;KL53_13_kfiB_3,100.00%,99.83%;KL53_14_kpsT,100.00%,99.57%;KL53_15_kpsM,100.00%,99.61%		0		0 / 15 (0.00%)		2	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated	KL128_09_DB_group_51,100.00%,3.64%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated;KL147_13_rmlB,100.00%,3.16%,truncated		ST10
