Assembly	BioProject	Country	MLST	Serotype	O_Type	H_Type	CH_Type	Phylogroup	N50	GC_Content	Total_Length
GCA_052072985.1	PRJNA1298299	Egypt	ST167	O101:H5	O101	H5	fumC11:Unknown	A	150168	50.77	4920799
GCA_052072855.1	PRJNA1298299	Egypt	ST167	O101:H5	O101	H5	fumC11:Unknown	A	203660	50.7	4934622
GCA_052072795.1	PRJNA1298299	Egypt	ST167	O8:H9	O8	H9	fumC11:Unknown	A	178383	50.74	5001907
GCA_052072695.1	PRJNA1298299	Egypt	ST167	O101:H5	O101	H5	fumC11:Unknown	A	190831	50.74	5035872
GCA_966555485.1	PRJEB73590	Ethiopia	ST10	O101:H4	O101	H4	fumC11:Unknown	A	123989	50.74	4909871
GCA_966564195.1	PRJEB73590	Ethiopia	ST10	O29:H4	O29	H4	fumC11:fimH25	A	54318	50.78	5042619
GCA_966562275.1	PRJEB73590	Ethiopia	ST10	O12:H4	O12	H4	fumC11:fimH27	A	90795	50.64	5046523
GCA_966565785.1	PRJEB73590	Ethiopia	ST10	O29:H4	O29	H4	fumC11:fimH25	A	48515	50.78	5074055
GCA_966576395.1	PRJEB73590	Ethiopia	ST10	O12:H4	O12	H4	fumC11:fimH27	A	85887	50.38	5591535
GCA_966562775.1	PRJEB73590	Ethiopia	ST10	O27:H37	O27	H37	fumC11:fimH215	A	95119	50.74	5273959
GCA_966518725.1	PRJEB73590	Ethiopia	ST10	O27:H37	O27	H37	fumC11:fimH215	A	95121	50.72	5214762
GCA_966573385.1	PRJEB73590	Ethiopia	ST10	O27:H37	O27	H37	fumC11:fimH215	A	94905	50.72	5211297
GCA_966573225.1	PRJEB73590	Ethiopia	ST10	O12:H4	O12	H4	fumC11:fimH27	A	93841	50.39	5494619
GCA_966572575.1	PRJEB73590	Ethiopia	ST10	O12:H4	O12	H4	fumC11:fimH27	A	125353	50.6	5347564
GCA_966591305.1	PRJEB73590	Ethiopia	ST10	O29:H4	O29	H4	fumC11:fimH25	A	54307	50.78	5044739
GCA_966556535.1	PRJEB73590	Ethiopia	ST10	O12:H4	O12	H4	fumC11:fimH27	A	125352	50.76	5136392
GCA_966570365.1	PRJEB73590	Ethiopia	ST10	O27:H37	O27	H37	fumC11:fimH215	A	94893	50.72	5209574
GCA_966512345.1	PRJEB73590	Ethiopia	ST10	O12:H4	O12	H4	fumC11:fimH27	A	114910	50.71	5032996
GCA_018972265.1	PRJNA737575	Ethiopia	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	5181038	50.71	5337095
GCA_018972245.1	PRJNA737575	Ethiopia	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	5052030	50.77	5190273
GCA_018972225.1	PRJNA737575	Ethiopia	ST131	O25:H4	O25	H4	fumC40:fimH22	B2	5099831	50.75	5212963
GCA_018972205.1	PRJNA737575	Ethiopia	ST131	O25:H4	O25	H4	fumC40:fimH22	B2	5085697	50.66	5202633
GCA_049380025.1	PRJNA473419	Ghana	ST10	O38:H26	O38	H26	fumC11:fimH24	A	210167	50.45	5209738
GCA_049379945.1	PRJNA473419	Ghana	ST10	O38:H26	O38	H26	fumC11:fimH24	A	173158	50.44	5351129
GCA_049379845.1	PRJNA473419	Ghana	ST10	O38:H26	O38	H26	fumC11:fimH24	A	174506	50.42	5259944
GCA_022968555.1	PRJNA823741	Ghana	ST10	O101:H10	O101	H10	fumC11:fimH54	A	89215	50.54	5067872
GCA_019355495.1	PRJNA473419	Ghana	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	5216726	50.79	5392098
GCA_025630975.1	PRJNA823741	Ghana	ST167	O101:H10	O101	H10	fumC11:fimH54	A	118922	50.83	4711974
GCA_037047155.1	PRJNA1076681	Jordan	ST10	Unknown	ND	ND	fumC11:fimH54	A	110251	50.51	5310713
GCA_037049005.1	PRJNA1076681	Jordan	ST10	O101:H10	O101	H10	fumC11:fimH54	A	82497	50.58	4821598
GCA_037048925.1	PRJNA1076681	Jordan	ST10	O101:H10	O101	H10	fumC11:fimH54	A	63488	50.63	4890566
GCA_037048805.1	PRJNA1076681	Jordan	ST10	O45:H4	O45	H4	fumC11:fimH215	A	85879	50.75	5129514
GCA_037048165.1	PRJNA1076681	Jordan	ST10	O101:H10	O101	H10	fumC11:fimH54	A	112598	50.7	4887246
GCA_037047365.1	PRJNA1076681	Jordan	ST10	O12:H4	O12	H4	fumC11:fimH27	A	70084	50.7	5356699
GCA_000713235.1	PRJNA233787	Jordan	ST10	O128ac:H10	O128ac	H10	fumC11:fimH54	A	119519	50.69	5264612
GCA_040713875.1	PRJNA828150	Jordan	ST10	O51:H48	O51	H48	fumC11:fimH54	A	110706	50.44	5192672
