Kaptive version	Database name	Database version	Assembly	ST	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details	ST
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_000713235.1	ST10	KL64	Capsule null	Untypeable	?+-*!	95.85%	100.00%		5 / 24 (20.83%)	KL64_17_gnd,95.51%,99.79%;KL64_18_manC,61.22%,83.05%,truncated;KL64_19_manB,77.21%,93.87%,below_id_threshold;KL64_19_manB,77.34%,93.44%,below_id_threshold;KL64_20_rmlB,78.91%,74.32%,truncated;KL64_21_rmlA,77.17%,87.59%,truncated	KL64_01_galF;KL64_02_cpsACP;KL64_03_wzi;KL64_04_wza;KL64_05_wzb;KL64_06_wzc;KL64_07_wzx_KL64;KL64_08_ptr26;KL64_09_gtr242;KL64_10_wzy_KL64;KL64_11_gtr243;KL64_12_gtr244;KL64_13_gtr245;KL64_14_ghl58;KL64_15_gtr246;KL64_16_wcaJ27;KL64_22_rmlD;KL64_23_rmlC;KL64_24_ugd1	1	KL156-D1_01_galF,99.33%,99.66%	0 / 24 (0.00%)		2	KL6_11_gmd,90.33%,97.05%;KL156-D1_17_ugd1,98.22%,97.23%	KL64_18_manC,61.22%,83.05%,truncated;KL64_20_rmlB,78.91%,74.32%,truncated;KL64_21_rmlA,77.17%,87.59%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793215.1	ST10	KL156-D1	unknown	Untypeable	-!	97.60%	100.00%	416	7 / 17 (41.18%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,95.01%,99.72%;KL156-D1_03_rmlD,95.99%,99.67%;KL156-D1_04_rmlA,96.92%,99.66%;KL156-D1_05_rmlC,94.20%,75.82%,truncated;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.29%,97.23%	KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		0		KL156-D1_05_rmlC,94.20%,75.82%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793445.1	ST10	KL156-D1	unknown	Untypeable	-!	97.60%	100.00%	416	7 / 17 (41.18%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,95.01%,99.72%;KL156-D1_03_rmlD,95.99%,99.67%;KL156-D1_04_rmlA,96.92%,99.66%;KL156-D1_05_rmlC,94.20%,75.82%,truncated;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.29%,97.23%	KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		0		KL156-D1_05_rmlC,94.20%,75.82%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793505.1	ST10	KL156-D1	unknown	Untypeable	-!	97.60%	100.00%	416	7 / 17 (41.18%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,95.01%,99.72%;KL156-D1_03_rmlD,95.99%,99.67%;KL156-D1_04_rmlA,96.92%,99.66%;KL156-D1_05_rmlC,94.20%,75.82%,truncated;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.29%,97.23%	KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		0		KL156-D1_05_rmlC,94.20%,75.82%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793615.1	ST10	KL156-D1	unknown	Untypeable	-!	97.60%	100.00%	416	7 / 17 (41.18%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,95.01%,99.72%;KL156-D1_03_rmlD,95.99%,99.67%;KL156-D1_04_rmlA,96.92%,99.66%;KL156-D1_05_rmlC,94.20%,75.82%,truncated;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.29%,97.23%	KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		0		KL156-D1_05_rmlC,94.20%,75.82%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793635.1	ST10	KL156-D1	unknown	Untypeable	-!	97.60%	100.00%	416	7 / 17 (41.18%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,95.01%,99.72%;KL156-D1_03_rmlD,95.99%,99.67%;KL156-D1_04_rmlA,96.92%,99.66%;KL156-D1_05_rmlC,94.20%,75.82%,truncated;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.29%,97.23%	KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		0		KL156-D1_05_rmlC,94.20%,75.82%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793645.1	ST10	KL156-D1	unknown	Untypeable	-!	97.60%	100.00%	416	7 / 17 (41.18%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,95.01%,99.72%;KL156-D1_03_rmlD,95.99%,99.67%;KL156-D1_04_rmlA,96.92%,99.66%;KL156-D1_05_rmlC,94.20%,75.82%,truncated;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.29%,97.23%	KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		0		KL156-D1_05_rmlC,94.20%,75.82%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793665.1	ST10	KL156-D1	unknown	Untypeable	-!	97.60%	100.00%	416	7 / 17 (41.18%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,95.01%,99.72%;KL156-D1_03_rmlD,95.99%,99.67%;KL156-D1_04_rmlA,96.92%,99.66%;KL156-D1_05_rmlC,94.20%,75.82%,truncated;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.29%,97.23%	KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		0		KL156-D1_05_rmlC,94.20%,75.82%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793715.1	ST10	KL5	Capsule null	Untypeable	?-*!	92.03%	100.00%		5 / 19 (26.32%)	KL5_01_galF,92.98%,95.32%;KL5_04_wza,79.05%,83.33%,truncated;KL5_16_gnd,94.87%,99.79%;KL5_18_manB,77.88%,94.75%,below_id_threshold;KL5_19_ugd1,90.21%,99.74%	KL5_02_cpsACP;KL5_03_wzi;KL5_05_wzb;KL5_06_wzc;KL5_07_wzy_KL5;KL5_08_wzx_KL5;KL5_09_ptr3;KL5_10_ghl3;KL5_11_atr5;KL5_12_gtr14;KL5_13_gtr15;KL5_14_gtr16;KL5_15_wcaJ3;KL5_17_manC	0		0 / 19 (0.00%)		1	KL6_11_gmd,90.06%,97.05%	KL5_04_wza,79.05%,83.33%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_K	3.2.2	GCA_009793945.1	ST10	KL156-D1	unknown	Untypeable	-	96.80%	98.10%	-281	6 / 17 (35.29%)	KL156-D1_01_galF,99.66%,99.66%;KL156-D1_02_rmlB,96.12%,99.72%;KL156-D1_03_rmlD,94.65%,99.67%;KL156-D1_04_rmlA,97.59%,99.66%;KL156-D1_16_gnd,98.72%,99.79%;KL156-D1_17_ugd1,99.64%,97.23%	KL156-D1_05_rmlC;KL156-D1_06_wzx_KL156-D1;KL156-D1_07_gtr512;KL156-D1_08_gtr513;KL156-D1_09_wzy_KL156-D1;KL156-D1_10_ghl119;KL156-D1_11_gtr514;KL156-D1_12_gtr515;KL156-D1_13_reg;KL156-D1_14_gtr516;KL156-D1_15_gtr517	0		0 / 17 (0.00%)		2	KL103_21_ugd1,91.24%,99.74%;KL119_18_gnd,98.77%,17.27%,partial	KL119_18_gnd,98.77%,17.27%,partial		ST10
