Sample,ST,Serotype,Phylogroup,CH_Type,Pathotype,AMR_Count,Virulence_Count
GCA_040417445.1,ST167,O101:H9,A,fumC11:Unknown,none,29,215
GCA_040415535.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_964006385.1,ST131,O25:H4,B2,fumC40:fimH30,none,46,208
GCA_050112975.1,ST167,O101:H9,A,fumC11:Unknown,none,29,221
GCA_964007355.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,229
GCA_964205585.1,ST131,O16:H5,B2,fumC40:fimH41,none,38,212
GCA_009795575.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_040418745.1,ST167,O101:H9,A,fumC11:Unknown,none,31,219
GCA_040417055.1,ST167,O101:H9,A,fumC11:Unknown,none,29,216
GCA_040415975.1,ST167,O101:H17,A,fumC11:Unknown,none,32,223
GCA_040416845.1,ST167,O101:H9,A,fumC11:Unknown,none,39,225
GCA_040417195.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_040418145.1,ST167,O101:H9,A,fumC11:Unknown,none,30,215
GCA_025536495.1,ST10,Unknown,A,fumC11:fimH23,EAEC,13,164
GCA_040416795.1,ST167,O101:H5,A,fumC11:Unknown,none,22,207
GCA_964007325.1,ST131,O16:H5,B2,fumC40:fimH41,none,38,199
GCA_964206585.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,49,236
GCA_040417015.1,ST167,O101:H5,A,fumC11:Unknown,none,26,207
GCA_040416375.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_964006875.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,231
GCA_040416035.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_040416195.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_907163495.1,ST167,O101:H21,A,fumC11:fimH54,none,36,216
GCA_964205525.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,40,228
GCA_907163635.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,214
GCA_966565785.1,ST10,O29:H4,A,fumC11:fimH25,none,20,205
GCA_040415805.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_037047155.1,ST10,Unknown,A,fumC11:fimH54,none,29,207
GCA_964006405.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,232
GCA_040417745.1,ST167,O101:H5,A,fumC11:Unknown,none,30,211
GCA_040712345.1,ST10,Unknown,A,fumC11:fimH54,none,28,214
GCA_011317975.1,ST10,O9a:H9,A,fumC11:fimH54,none,20,200
GCA_050113135.1,ST167,O101:H17,A,fumC11:Unknown,none,34,225
GCA_964007295.1,ST167,O101:H21,A,fumC11:fimH54,none,24,224
GCA_040419105.1,ST167,O101:H5,A,fumC11:Unknown,none,29,210
GCA_009824835.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,7,167
GCA_964006945.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,48,235
GCA_025536675.1,ST10,Unknown,A,fumC11:fimH23,EAEC,14,167
GCA_040418725.1,ST167,O101:H9,A,fumC11:Unknown,none,29,219
GCA_018972265.1,ST131,O25:H4,B2,fumC40:fimH30,none,30,232
GCA_011318395.1,ST10,O71:H48,A,fumC11:fimH54,EAEC,11,153
GCA_030024465.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,212
GCA_040417405.1,ST167,O101:H5,A,fumC11:Unknown,none,29,212
GCA_040418985.1,ST167,O101:H9,A,fumC11:Unknown,none,31,221
GCA_009900075.1,ST10,O13/O129:H11,A,fumC11:fimH27,none,14,179
GCA_040418885.1,ST167,O101:H9,A,fumC11:Unknown,none,27,219
GCA_964007055.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,216
GCA_966573225.1,ST10,O12:H4,A,fumC11:fimH27,none,31,249
GCA_964205905.1,ST131,O153:H4,B2,fumC40:fimH30,none,39,231
GCA_964205545.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,231
GCA_969779115.1,ST10,O128ac:H10,A,fumC11:fimH54,EAEC,30,208
