Kaptive version	Database name	Database version	Assembly	ST	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details	ST
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_000713235.1	ST10	OL14	unknown	Untypeable	-*!	0.00%	19.01%	-5567	2 / 8 (25.00%)	OL14_01_rfbB,76.92%,96.57%,below_id_threshold;OL14_02_rfbA,77.43%,88.62%,truncated	OL14_03_rfbD;OL14_04_rfbC;OL14_05_wbbL;OL14_06_rhamnan;OL14_07_wzm;OL14_08_wzt	0		0 / 8 (0.00%)		0		OL14_02_rfbA,77.43%,88.62%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793215.1	ST10	OL2α.3	O1α,2α	Typeable	!	98.06%	90.46%	-768	7 / 7 (100.00%)	OL2α.3_01_wzm,96.86%,99.61%;OL2α.3_02_wzt,97.97%,99.60%;OL2α.3_03_wbbM,97.46%,99.84%;OL2α.3_04_glf,98.70%,99.74%;OL2α.3_05_wbbN,96.62%,99.66%;OL2α.3_06_wbbO,97.88%,99.74%;OL2α.3_07_,93.30%,41.15%,truncated		0		0 / 7 (0.00%)		0		OL2α.3_07_,93.30%,41.15%,truncated	wbbZ,99.26%,99.63%;wbbY,99.73%,99.87%	ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793445.1	ST10	OL2α.3	O1α,2α	Typeable	!	98.06%	90.46%	-768	7 / 7 (100.00%)	OL2α.3_01_wzm,96.86%,99.61%;OL2α.3_02_wzt,97.97%,99.60%;OL2α.3_03_wbbM,97.46%,99.84%;OL2α.3_04_glf,98.70%,99.74%;OL2α.3_05_wbbN,96.62%,99.66%;OL2α.3_06_wbbO,97.88%,99.74%;OL2α.3_07_,93.30%,41.15%,truncated		0		0 / 7 (0.00%)		0		OL2α.3_07_,93.30%,41.15%,truncated	wbbZ,99.26%,99.63%;wbbY,99.73%,99.87%	ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793505.1	ST10	OL2α.3	O1α,2α	Typeable	!	98.06%	90.46%	-768	7 / 7 (100.00%)	OL2α.3_01_wzm,96.86%,99.61%;OL2α.3_02_wzt,97.97%,99.60%;OL2α.3_03_wbbM,97.46%,99.84%;OL2α.3_04_glf,98.70%,99.74%;OL2α.3_05_wbbN,96.62%,99.66%;OL2α.3_06_wbbO,97.88%,99.74%;OL2α.3_07_,93.30%,41.15%,truncated		0		0 / 7 (0.00%)		0		OL2α.3_07_,93.30%,41.15%,truncated	wbbZ,99.26%,99.63%;wbbY,99.73%,99.87%	ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793615.1	ST10	OL2α.3	O1α,2α	Typeable	!	98.06%	90.46%	-768	7 / 7 (100.00%)	OL2α.3_01_wzm,96.86%,99.61%;OL2α.3_02_wzt,97.97%,99.60%;OL2α.3_03_wbbM,97.46%,99.84%;OL2α.3_04_glf,98.70%,99.74%;OL2α.3_05_wbbN,96.62%,99.66%;OL2α.3_06_wbbO,97.88%,99.74%;OL2α.3_07_,93.30%,41.15%,truncated		0		0 / 7 (0.00%)		0		OL2α.3_07_,93.30%,41.15%,truncated	wbbZ,99.26%,99.63%;wbbY,99.73%,99.87%	ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793635.1	ST10	OL2α.3	O1α,2α	Typeable	!	98.06%	90.46%	-768	7 / 7 (100.00%)	OL2α.3_01_wzm,96.86%,99.61%;OL2α.3_02_wzt,97.97%,99.60%;OL2α.3_03_wbbM,97.46%,99.84%;OL2α.3_04_glf,98.70%,99.74%;OL2α.3_05_wbbN,96.62%,99.66%;OL2α.3_06_wbbO,97.88%,99.74%;OL2α.3_07_,93.30%,41.15%,truncated		0		0 / 7 (0.00%)		0		OL2α.3_07_,93.30%,41.15%,truncated	wbbZ,99.26%,99.63%;wbbY,99.73%,99.87%	ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793645.1	ST10	OL2α.3	O1α,2α	Typeable	!	98.06%	90.46%	-768	7 / 7 (100.00%)	OL2α.3_01_wzm,96.86%,99.61%;OL2α.3_02_wzt,97.97%,99.60%;OL2α.3_03_wbbM,97.46%,99.84%;OL2α.3_04_glf,98.70%,99.74%;OL2α.3_05_wbbN,96.62%,99.66%;OL2α.3_06_wbbO,97.88%,99.74%;OL2α.3_07_,93.30%,41.15%,truncated		0		0 / 7 (0.00%)		0		OL2α.3_07_,93.30%,41.15%,truncated	wbbZ,99.26%,99.63%;wbbY,99.73%,99.87%	ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793665.1	ST10	OL2α.3	O1α,2α	Typeable	!	98.06%	90.46%	-768	7 / 7 (100.00%)	OL2α.3_01_wzm,96.86%,99.61%;OL2α.3_02_wzt,97.97%,99.60%;OL2α.3_03_wbbM,97.46%,99.84%;OL2α.3_04_glf,98.70%,99.74%;OL2α.3_05_wbbN,96.62%,99.66%;OL2α.3_06_wbbO,97.88%,99.74%;OL2α.3_07_,93.30%,41.15%,truncated		0		0 / 7 (0.00%)		0		OL2α.3_07_,93.30%,41.15%,truncated	wbbZ,99.26%,99.63%;wbbY,99.73%,99.87%	ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793715.1	ST10	OL14	unknown	Untypeable	-*!	0.00%	19.01%	-5567	2 / 8 (25.00%)	OL14_01_rfbB,76.92%,96.57%,below_id_threshold;OL14_02_rfbA,77.43%,88.62%,truncated	OL14_03_rfbD;OL14_04_rfbC;OL14_05_wbbL;OL14_06_rhamnan;OL14_07_wzm;OL14_08_wzt	0		0 / 8 (0.00%)		0		OL14_02_rfbA,77.43%,88.62%,truncated		ST10
3.3.2	Klebsiella_pneumoniae_Species_Complex_O	3.2.0	GCA_009793945.1	ST10	OL14	unknown	Untypeable	-*!	0.00%	19.01%	-5567	2 / 8 (25.00%)	OL14_01_rfbB,76.92%,96.57%,below_id_threshold;OL14_02_rfbA,77.04%,88.62%,truncated	OL14_03_rfbD;OL14_04_rfbC;OL14_05_wbbL;OL14_06_rhamnan;OL14_07_wzm;OL14_08_wzt	0		0 / 8 (0.00%)		0		OL14_02_rfbA,77.04%,88.62%,truncated		ST10
