Filename	Total Sequences	Total Length	Total Bases	GC Content (%)	AT Content (%)	N50	N75	N90	Median Length	Mean Length	Longest Sequence	Shortest Sequence	Ambiguous Bases (%)	Sequences with Ns	Max N-run	Homopolymers	Max Homopolymer	Duplicate Sequences	Short Sequences (<100 bp)	Long Sequences (>1M bp)	File Size (MB)	Warnings	E. coli Status	Best Species	ANI (%)	E. coli / Shigella Confirmed	Contamination Suspected
GCA_040417195.1.fna	210	4980357	4980357	50.74	49.26	94087	40466	13262	4631.5	23716	283726	221	0.00	0	0	20956	12	0	0	0	4.83	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.35	Yes	No
GCA_040712465.1.fna	131	5111903	5111903	50.59	49.40	122488	58014	25293	9873	39022	263922	570	0.00	0	0	21741	10	0	0	0	4.95	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.46	Yes	No
GCA_040418805.1.fna	230	5043804	5043804	50.67	49.33	58994	29707	16447	7439.0	21930	189693	208	0.00	0	0	21301	10	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.43	Yes	No
GCA_907163765.1.fna	144	5108629	5108629	50.74	49.26	191000	109209	34463	924.0	35477	622975	114	0.00	0	0	21777	11	0	0	0	4.95	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.82	Yes	No
GCA_040418845.1.fna	270	5051442	5051442	50.67	49.33	44755	22934	11464	6099.5	18709	178330	216	0.00	0	0	21368	10	0	0	0	4.90	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.43	Yes	No
GCA_040418525.1.fna	185	4980378	4980378	50.74	49.26	97485	52113	19482	4347	26921	358695	226	0.00	0	0	21004	11	0	0	0	4.83	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.4	Yes	No
GCA_037048945.1.fna	314	5259652	5259652	50.50	49.50	118913	53043	17808	1167.5	16750	363686	202	0.00	0	0	22682	10	0	0	0	5.11	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.82	Yes	No
GCA_040417725.1.fna	257	5049567	5049567	50.70	49.30	70209	33313	12154	4611	19648	169315	205	0.00	0	0	21606	10	0	0	0	4.90	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.46	Yes	No
GCA_972176215.1.fna	73	5021279	5021279	50.78	49.22	168689	111895	58044	14775	68785	602593	611	0.00	0	0	21321	10	0	0	0	4.86	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.75	Yes	No
GCA_040418245.1.fna	143	5052242	5052242	50.69	49.31	141400	61051	36818	4570	35330	359452	225	0.00	0	0	21345	12	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.39	Yes	No
GCA_040417445.1.fna	274	5026580	5026580	50.68	49.32	46438	24116	10668	6229.0	18345	157858	208	0.00	0	0	21158	10	0	0	0	4.88	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.36	Yes	No
GCA_970664135.1.fna	102	5152786	5152786	50.70	49.30	239930	115326	41651	5619.5	50518	607041	502	0.00	0	0	21896	10	0	0	0	4.99	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_040417985.1.fna	278	5035631	5035631	50.70	49.30	45239	27434	11464	5941.0	18114	160573	226	0.00	0	0	21181	10	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.41	Yes	No
GCA_037048165.1.fna	131	4887246	4887246	50.70	49.30	112598	53662	24794	11271	37307	228171	222	0.00	0	0	20583	11	0	0	0	4.73	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.38	Yes	No
GCA_040416625.1.fna	195	5059118	5059118	50.63	49.37	83692	40250	19272	5875	25944	226022	208	0.00	0	0	21417	10	0	0	0	4.90	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.46	Yes	No
GCA_040416615.1.fna	194	5064267	5064267	50.63	49.37	70607	41152	19272	5946.5	26104	269033	202	0.00	0	0	21459	10	0	0	0	4.91	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_009900285.1.fna	130	4993602	4993602	50.87	49.13	155603	75993	42425	2609.5	38412	347390	204	0.00	0	0	21108	10	0	0	0	4.84	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.42	Yes	No
GCA_964006685.1.fna	173	5045427	5045427	50.63	49.37	147205	89243	26763	2095	29164	339771	219	0.00	0	0	21375	10	0	0	0	4.89	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.81	Yes	No
GCA_964205945.1.fna	192	5182265	5182265	50.68	49.32	112718	66974	29820	2214.0	26991	335827	200	0.00	0	0	22095	10	0	0	0	5.03	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.84	Yes	No
GCA_040417365.1.fna	144	5043952	5043952	50.69	49.31	133332	61051	37545	4524.5	35027	358694	225	0.00	0	0	21270	12	0	0	0	4.88	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.34	Yes	No
GCA_037049305.1.fna	298	5370277	5370277	50.63	49.37	99499	46978	13576	1471.0	18021	228186	201	0.00	0	0	23151	10	0	0	0	5.22	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
GCA_964205785.1.fna	81	5175442	5175442	50.60	49.40	206849	117167	56411	10543	63894	389144	293	0.00	0	0	22275	10	0	0	0	5.01	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.77	Yes	No
GCA_040416035.1.fna	153	5048355	5048355	50.68	49.32	137372	61551	37545	3811	32996	361323	221	0.00	0	0	21331	11	0	0	0	4.89	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.39	Yes	No
GCA_040713875.1.fna	170	5192672	5192672	50.44	49.56	110706	47953	21759	6201.5	30545	223904	509	0.01	0	0	22350	12	0	0	0	5.03	1	GC:Normal,Size:Normal	Escherichia Coli K12	99.65	Yes	No
GCA_040415855.1.fna	188	5047172	5047172	50.62	49.38	91118	41152	24898	5275.5	26847	269033	208	0.00	0	0	21380	10	0	0	0	4.89	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.46	Yes	No
GCA_040416095.1.fna	276	5046760	5046760	50.71	49.29	66642	24326	9704	5020.5	18285	238240	205	0.00	0	0	21553	11	0	0	0	4.90	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.48	Yes	No
GCA_964006905.1.fna	2412	5578439	5578439	50.29	49.71	6878	2132	877	864.0	2313	46371	200	0.00	0	0	24565	10	0	0	0	5.69	2	GC:Normal,Size:Atypical	Escherichia Coli K12	96.78	Yes	No
GCA_040415455.1.fna	264	5021719	5021719	50.72	49.28	73574	31744	11003	4592.0	19022	203726	209	0.00	0	0	21414	127	0	0	0	4.87	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.5	Yes	No
GCA_040415475.1.fna	208	5005678	5005678	50.71	49.29	99994	50381	15564	2946.0	24066	358315	225	0.00	0	0	21104	12	0	0	0	4.85	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.39	Yes	No
GCA_040416505.1.fna	222	5037942	5037942	50.71	49.29	76287	37681	13826	5141.5	22693	196640	207	0.00	0	0	21246	12	0	0	0	4.88	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.38	Yes	No
GCA_907163635.1.fna	180	5215489	5215489	50.74	49.26	164040	109215	39536	607.5	28975	622885	112	0.00	0	0	22334	10	0	0	0	5.06	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.81	Yes	No
GCA_964205435.1.fna	1754	5944057	5944057	50.42	49.58	13004	3411	1204	1020.0	3389	108959	200	0.00	0	0	26132	10	0	0	0	5.97	2	GC:Normal,Size:Atypical	Escherichia Coli K12	96.69	Yes	No
GCA_040416265.1.fna	191	5041899	5041899	50.69	49.31	119275	53381	22467	3523	26397	337132	226	0.00	0	0	21276	10	0	0	0	4.89	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.4	Yes	No
GCA_907163815.1.fna	141	5110065	5110065	50.74	49.26	246470	124115	59003	740	36242	834595	112	0.00	0	0	21778	11	0	0	0	4.95	1	GC:Normal,Size:Normal	Escherichia Coli K12	96.83	Yes	No
GCA_966591305.1.fna	272	5044739	5044739	50.78	49.22	54307	28251	11841	4941.0	18547	242027	507	0.00	0	0	21905	11	0	0	0	4.91	2	GC:Normal,Size:Normal	Escherichia Coli K12	99.29	Yes	No
GCA_009793215.1.fna	99	4743072	4743072	50.70	49.30	188117	121741	88390	1702	47910	706842	237	0.00	0	0	19748	10	0	0	0	4.59	0	GC:Normal,Size:Normal	Escherichia Coli K12	99.51	Yes	No
GCA_964006295.1.fna	166	5112343	5112343	50.65	49.35	124102	74851	18657	4858.0	30797	259053	204	0.00	0	0	21947	10	0	0	0	4.96	0	GC:Normal,Size:Normal	Escherichia Coli K12	96.78	Yes	No
